inID,SQLDateTime,DateTime,TradeNum,OrderNum,UserID,TerminalID,CTCLID,AlgoID,AccountCode,MemberCode,ScripCode,Exchange,OptType,ExpiryDate,StrikePrice,ScripDescription,BuySellFlag,TradeQty,TradePrice,MainTradeID,SecurityType,ReferenceText,PendingQty,CustomID,Sender
27265,20230711-09:12:36,20230711-09:12:36,210002760,O454545513,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,24,220,59,FUTCOM,ng5,0,51,s1
27266,20230711-09:13:10,20230711-09:13:10,210002820,O454545514,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,7,220.1,60,FUTCOM,ng5,0,51,s1
27268,20230711-09:13:10,20230711-09:13:10:1689,210002881,O454545515,CMMF01,,FRD_AB,,45563,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,22,121.26,62,FUTURE,ng5,0,55,s1
27267,20230711-09:13:10,20230711-09:13:10:1689,210002943,O454545516,CMMF01,,FRD_AB,,45563,FRD25_D,9.50419E+017,CME:NEWGEN,,27-Aug-23,0,NG,Buy,23,2663,61,FUTURE,ng5,0,54,s1
27269,20230711-09:13:20,20230711-09:13:20,210003006,O454545517,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,9,220.1,63,FUTCOM,ngjuly2,0,56,s1
27270,20230711-09:13:20,20230711-09:13:20,210003070,O454545518,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,15,220.1,64,FUTCOM,ngjuly2,0,56,s1
27271,20230711-09:13:28,20230711-09:13:28,210003135,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,9,220.1,65,FUTCOM,ngjuly2,0,56,s1
27272,20230711-09:16:33,20230711-09:16:33,210003201,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,17,220.1,66,FUTCOM,ngjuly4,0,60,s1
27273,20230711-09:16:37,20230711-09:16:37,210003268,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,2,220.1,67,FUTCOM,ngjuly4,0,60,s1
27274,20230711-09:16:37,20230711-09:16:37,210003336,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,10,220.1,68,FUTCOM,ngjuly4,0,60,s1
27275,20230711-09:16:44,20230711-09:16:44,210003405,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,2,220.1,69,FUTCOM,ngjuly4,0,60,s1
27276,20230711-09:17:19,20230711-09:17:19,210003475,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,3,220.1,70,FUTCOM,ngjuly4,0,60,s1
27277,20230711-09:17:39,20230711-09:17:39,210003546,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,25,220.1,71,FUTCOM,ngjuly4,0,60,s1
27278,20230711-09:17:53,20230711-09:17:53,210003618,262319000000000,CMMF01,,4545,,45563,6545,256442,MCX,XX,26-Jul-23,0,NATURALGAS,Sell,1,220.1,72,FUTCOM,ngjuly4,0,60,s1
27280,20230711-09:17:54,20230711-09:17:53:1689,210003691,262319000000000,CMMF01,,FRD_AB,,45563,ABC15_AB,7.77601E+018,DGCX:TTFIX,,27-Jul-23,0,DINR,Sell,13,121.24,74,FUTURE,ngjuly4,0,62,s1
